Name,Gender,Race,Age,Hair,Height,Affiliation,Place of Origin,First Appearance,Canonical status,Living status,Difficulty,Image
Grand Fisher,Male,Arrancar,100-1000,Green,342,Espada,Karakura Town,Agent of the Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/7/71/Ep111GrandFisherProfile3.png/revision/latest/scale-to-width-down/1000?cb=20230618052619&path-prefix=en
Yasutora Sado (Chad),Male,Fullbringer,001-20,Brown,197,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/e/e9/Ep351SadoProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105184729&path-prefix=en
Orihime Inoue,Female,Fullbringer,001-20,Ginger,157,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/c/c7/Ep397OrihimeProfile.png/revision/latest?cb=20241111181107&path-prefix=en
Acidwire (Sora Inoue),Male,Hollow,21-40,Brown,400-500,Independent,Karakura Town,Agent of the Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/0/09/Ep2AcidwireMaskShatters.png/revision/latest/scale-to-width-down/1000?cb=20210311234138&path-prefix=en
Shrieker,Male,Hollow,41-60,None,400-500,Independent,Karakura Town,Agent of the Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/f/fe/Ep4Shrieker.png/revision/latest?cb=20210312064527&path-prefix=en
Numb Chandelier,Female,Hollow,100-1000,None,600-800,Independent,Karakura Town,Agent of the Shinigami Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/3/36/Ep13NumbChandelier.png/revision/latest/scale-to-width-down/1000?cb=20210325231830&path-prefix=en
Bulbous G,None,Hollow,100-1000,None,250-300,Independent,Karakura Town,Agent of the Shinigami Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/c/c8/Ep12BulbousGProfile.png/revision/latest/scale-to-width-down/1000?cb=20210325080600&path-prefix=en
Oscar Joaquin de la Rosa (Abuelo),Male,Human,61-100,Brown,Unknown,Civilian,Mexico,Agent of The Shinigami Arc,Canon,Deceased,Impossible,https://static.wikia.nocookie.net/bleach/images/9/98/Abuelo_%28ep249%29.png/revision/latest?cb=20131014030424&path-prefix=en
Yuichi Shibata,Male,Human,001-20,Brown,122,Civilian,Karakura Town,Agent of the Shinigami Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/3/3d/Ep22YuichiProfile.png/revision/latest?cb=20210330211250&path-prefix=en
Keigo Asano,Male,Human,001-20,Brown,170,Civilian,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/3/30/Ep122KeigoProfile.png/revision/latest?cb=20210908004821&path-prefix=en
Mizuiro Kojima,Male,Human,001-20,Black,154,Civilian,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/5/56/Ep227MizuiroProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105043314&path-prefix=en
Chizuru Honsho,Female,Human,001-20,Ginger,163, Civilian ,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/a/a2/Ep214ChizuruProfile.png/revision/latest?cb=20190126061258&path-prefix=en
Tatsuki Arisawa,Female,Human,001-20,Black,155,Civilian,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/6/62/Ep70TatsukiProfile.png/revision/latest?cb=20200818063236&path-prefix=en
Don Kanonji,Male,Human,41-60,Black,185,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/4/41/Ep50DonKanonjiProfile.png/revision/latest?cb=20210411054438&path-prefix=en
Karin Kurosaki,Female,Hybrid,001-20,Black,136,Civilian,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/7/70/Ep132KarinProfile.png/revision/latest?cb=20211024072021&path-prefix=en
Yuzu Kurosaki,Female,Hybrid,001-20,Blonde,137,Civilian,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/a/ae/Ep80YuzuProfile.png/revision/latest?cb=20210415064944&path-prefix=en
Ichigo Kurosaki,Male,Hybrid,001-20,Ginger,181,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/f/fb/434Ichigo_profile.png/revision/latest?cb=20251202153058&path-prefix=en
Jinta Hanakari,Male,Mod Soul,001-20,Red,126,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/d/d6/Ep6JintaHanakari1.png/revision/latest?cb=20210313004425&path-prefix=en
Kon,Male,Mod Soul,001-20,Brown,27,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/5/5f/KonProfileOpt1Ep320.png/revision/latest?cb=20130113171718&path-prefix=en
Ururu Tsumugiya,Female,Mod Soul,001-20,Black,145,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/f/f9/Ep205UruruProfile.png/revision/latest?cb=20180912233510&path-prefix=en
Masaki Kurosaki,Female,Quincy,41-60,Brown,157,Civilian,Karakura Town,Agent of the shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/c/cc/Ep377MasakiProfile2.png/revision/latest?cb=20221219215020&path-prefix=en
Ryuken Ishida,Male,Quincy,41-60,White,180,Ryoka,Karakura Town,Agent of the shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/0/0b/Ep111RyukenProfile.png/revision/latest?cb=20210525042519&path-prefix=en
Uryu Ishida,Male,Quincy,001-20,Black,177,Sternritter,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/f/f7/Ep343UryuProfile.png/revision/latest/scale-to-width-down/1000?cb=20221009010907&path-prefix=en
Soken Ishida,Male,Quincy,61-100,White,155,Sternritter,Karakura Town,Agent of the shinigami Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/4/48/Ep406SokenProfile.png/revision/latest?cb=20241230215912&path-prefix=en
Gin Ichimaru,Male,Shinigami,100-1000,Purple,185,Espada,Seireitei,Agent of the Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/a/af/Ep35GinProfile.png/revision/latest/scale-to-width-down/1000?cb=20210409051336&path-prefix=en
Jushiro Ukitake,Male,Shinigami,100-1000,White,187,Gotei 13,Seireitei,Agent of the Shinigami Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/c/c8/Ep215UkitakeProfile.png/revision/latest/scale-to-width-down/1000?cb=20220501214325&path-prefix=en
Byakuya Kuchiki,Male,Shinigami,100-1000,Black,180,Gotei 13,Seireitei,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/f/f6/Ep310ByakuyaProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105191516&path-prefix=en
